timestamp,symbol,side,qty,entry_price,exit_price,pnl,pnl_pct,exit_reason,strategy
2023-09-05T04:00:00+00:00,META,buy,35,283.01164384460446,297.6639902801514,512.83,5.18,take_profit,RSI_SMA
2024-04-29T04:00:00+00:00,META,buy,22,438.62713243103025,429.49202522277835,-200.97,-2.08,stop_loss,RSI_SMA
2024-05-06T04:00:00+00:00,META,buy,23,429.9217321014404,462.3130393676758,745.0,7.53,take_profit,RSI_SMA
2024-08-01T04:00:00+00:00,META,buy,22,451.02944865417476,494.63183282470703,959.25,9.67,take_profit,RSI_SMA
2024-09-12T04:00:00+00:00,META,buy,20,497.64341171264647,522.3178730163575,493.49,4.96,take_profit,RSI_SMA
2025-03-04T05:00:00+00:00,META,buy,15,655.199933807373,637.1237226257325,-271.14,-2.76,stop_loss,RSI_SMA
2025-03-07T05:00:00+00:00,META,buy,16,637.76116506958,622.8481491394043,-238.61,-2.34,stop_loss,RSI_SMA
2025-03-10T04:00:00+00:00,META,buy,16,623.4713088684082,595.3025416259766,-450.7,-4.52,stop_loss,RSI_SMA
2025-03-18T04:00:00+00:00,META,buy,17,595.8981419677734,580.2585537109376,-265.87,-2.62,stop_loss,RSI_SMA
2025-03-24T04:00:00+00:00,META,buy,17,580.8391025390624,616.6168303222656,608.22,6.16,take_profit,RSI_SMA
2025-04-04T04:00:00+00:00,META,buy,19,530.2315970764159,502.908667678833,-519.14,-5.15,stop_loss,RSI_SMA
2025-04-09T04:00:00+00:00,META,buy,20,503.41182792663574,583.656329071045,1604.89,15.94,take_profit,RSI_SMA
2025-09-16T04:00:00+00:00,META,buy,14,733.7542670288085,776.7862172851563,602.45,5.86,take_profit,RSI_SMA
2025-10-27T04:00:00+00:00,META,buy,14,709.728282989502,749.1915620422363,552.49,5.56,take_profit,RSI_SMA
2025-11-04T05:00:00+00:00,META,buy,16,647.5910897827148,625.9594467163087,-346.11,-3.34,stop_loss,RSI_SMA
2025-11-12T05:00:00+00:00,META,buy,16,626.5857192993163,607.6891674804688,-302.34,-3.02,stop_loss,RSI_SMA
2025-11-19T05:00:00+00:00,META,buy,17,608.2971606445312,589.0396834106446,-327.38,-3.17,stop_loss,RSI_SMA
2025-11-25T05:00:00+00:00,META,buy,17,589.6290177612304,634.8400749816894,768.59,7.67,take_profit,RSI_SMA
2026-03-20T04:00:00+00:00,META,buy,17,607.0033622131348,593.363143157959,-231.88,-2.25,stop_loss,RSI_SMA
2026-03-26T04:00:00+00:00,META,buy,17,593.9568031311035,547.2662080383301,-793.74,-7.86,stop_loss,RSI_SMA
2026-03-27T04:00:00+00:00,META,buy,18,547.8137480163574,525.4571107177735,-402.42,-4.08,stop_loss,RSI_SMA
2026-03-31T04:00:00+00:00,META,buy,19,525.9828306884765,571.8439398803712,871.36,8.72,take_profit,RSI_SMA
2026-06-05T04:00:00+00:00,META,buy,17,605.2625019836426,592.7035000000001,-213.5,-2.07,stop_loss,RSI_SMA
