entry_time,exit_time,symbol,side,qty,entry_price,exit_price,pnl,pnl_pct,exit_reason
2024-08-05T04:00:00+00:00,2024-08-12T04:00:00+00:00,AAPL,buy,2,207.58,215.8,16.45,3.96,max_holding
2025-01-14T05:00:00+00:00,2025-01-16T05:00:00+00:00,AAPL,buy,2,231.91,226.7,-10.43,-2.25,stop_loss
2025-01-16T05:00:00+00:00,2025-01-21T05:00:00+00:00,AAPL,buy,2,226.92,221.12,-11.62,-2.56,stop_loss
2025-01-21T05:00:00+00:00,2025-01-28T05:00:00+00:00,AAPL,buy,2,221.34,236.63,30.58,6.91,take_profit
2025-03-11T04:00:00+00:00,2025-03-13T04:00:00+00:00,AAPL,buy,2,219.79,208.47,-22.63,-5.15,stop_loss
2025-03-13T04:00:00+00:00,2025-03-20T04:00:00+00:00,AAPL,buy,2,208.68,212.87,8.37,2.01,max_holding
2025-03-20T04:00:00+00:00,2025-03-27T04:00:00+00:00,AAPL,buy,2,213.08,222.56,18.96,4.45,max_holding
2025-04-08T04:00:00+00:00,2025-04-09T04:00:00+00:00,AAPL,buy,2,171.6,197.71,52.21,15.21,take_profit
2025-12-22T05:00:00+00:00,2025-12-30T05:00:00+00:00,AAPL,buy,1,270.6,272.44,1.83,0.68,max_holding
2024-10-17T04:00:00+00:00,2024-10-23T04:00:00+00:00,TSLA,buy,2,221.0,213.54,-14.91,-3.37,stop_loss
2025-02-07T05:00:00+00:00,2025-02-10T05:00:00+00:00,TSLA,buy,1,361.8,350.55,-11.25,-3.11,stop_loss
2025-02-10T05:00:00+00:00,2025-02-11T05:00:00+00:00,TSLA,buy,1,350.91,328.34,-22.57,-6.43,stop_loss
2025-02-11T05:00:00+00:00,2025-02-13T05:00:00+00:00,TSLA,buy,1,328.66,355.76,27.1,8.24,take_profit
2025-02-25T05:00:00+00:00,2025-02-26T05:00:00+00:00,TSLA,buy,1,302.95,290.65,-12.3,-4.06,stop_loss
2025-02-26T05:00:00+00:00,2025-02-27T05:00:00+00:00,TSLA,buy,1,290.95,281.81,-9.14,-3.14,stop_loss
2025-02-27T05:00:00+00:00,2025-03-04T05:00:00+00:00,TSLA,buy,1,282.09,271.9,-10.19,-3.61,stop_loss
2025-03-06T05:00:00+00:00,2025-03-10T04:00:00+00:00,TSLA,buy,1,263.58,222.04,-41.54,-15.76,stop_loss
2025-03-10T04:00:00+00:00,2025-03-12T04:00:00+00:00,TSLA,buy,2,222.26,247.97,51.41,11.57,take_profit
2025-03-12T04:00:00+00:00,2025-03-13T04:00:00+00:00,TSLA,buy,1,248.21,240.56,-7.65,-3.08,stop_loss
2025-03-13T04:00:00+00:00,2025-03-18T04:00:00+00:00,TSLA,buy,2,240.8,225.2,-31.21,-6.48,stop_loss
2024-07-30T04:00:00+00:00,2024-07-31T04:00:00+00:00,NVDA,buy,4,103.61,116.77,52.63,12.7,take_profit
2025-03-10T04:00:00+00:00,2025-03-12T04:00:00+00:00,NVDA,buy,4,106.87,115.52,34.59,8.09,take_profit
2025-04-03T04:00:00+00:00,2025-04-04T04:00:00+00:00,NVDA,buy,5,101.71,94.13,-37.89,-7.45,stop_loss
2025-04-04T04:00:00+00:00,2025-04-09T04:00:00+00:00,NVDA,buy,5,94.23,114.11,99.44,21.11,take_profit
2024-07-25T04:00:00+00:00,2024-08-01T04:00:00+00:00,GOOGL,buy,3,166.08,169.37,9.86,1.98,max_holding
2024-08-02T04:00:00+00:00,2024-08-05T04:00:00+00:00,GOOGL,buy,3,165.47,157.95,-22.55,-4.54,stop_loss
2024-08-05T04:00:00+00:00,2024-08-12T04:00:00+00:00,GOOGL,buy,3,158.11,160.97,8.57,1.81,max_holding
2024-09-09T04:00:00+00:00,2024-09-13T04:00:00+00:00,GOOGL,buy,3,147.84,156.38,25.63,5.78,take_profit
2025-02-21T05:00:00+00:00,2025-02-25T05:00:00+00:00,GOOGL,buy,2,178.82,174.42,-8.79,-2.46,stop_loss
2025-02-25T05:00:00+00:00,2025-02-27T05:00:00+00:00,GOOGL,buy,2,174.6,167.54,-14.11,-4.04,stop_loss
2025-02-27T05:00:00+00:00,2025-03-06T05:00:00+00:00,GOOGL,buy,2,167.71,171.37,7.32,2.18,max_holding
2025-03-11T04:00:00+00:00,2025-03-18T04:00:00+00:00,GOOGL,buy,3,163.46,159.94,-10.55,-2.15,stop_loss
2024-07-26T04:00:00+00:00,2024-08-01T04:00:00+00:00,AMD,buy,3,140.06,132.47,-22.76,-5.42,stop_loss
2024-08-01T04:00:00+00:00,2024-08-07T04:00:00+00:00,AMD,buy,3,132.61,128.61,-12.0,-3.02,stop_loss
2024-10-24T04:00:00+00:00,2024-10-29T04:00:00+00:00,AMD,buy,3,153.52,166.17,37.95,8.24,take_profit
2024-11-18T05:00:00+00:00,2024-11-25T05:00:00+00:00,AMD,buy,3,139.0,141.06,6.18,1.48,max_holding
2024-12-20T05:00:00+00:00,2024-12-24T05:00:00+00:00,AMD,buy,4,119.27,126.23,27.83,5.83,take_profit
2025-02-25T05:00:00+00:00,2025-02-27T05:00:00+00:00,AMD,buy,4,104.01,99.46,-18.21,-4.38,stop_loss
2025-03-03T05:00:00+00:00,2025-03-10T04:00:00+00:00,AMD,buy,5,98.28,96.58,-8.49,-1.73,max_holding
2025-03-10T04:00:00+00:00,2025-03-17T04:00:00+00:00,AMD,buy,5,96.68,104.54,39.3,8.13,take_profit
2025-04-08T04:00:00+00:00,2025-04-09T04:00:00+00:00,AMD,buy,6,78.25,96.79,111.25,23.7,take_profit
2025-09-03T04:00:00+00:00,2025-09-05T04:00:00+00:00,AMD,buy,3,162.21,151.06,-33.44,-6.87,stop_loss
2025-09-05T04:00:00+00:00,2025-09-10T04:00:00+00:00,AMD,buy,3,151.22,159.46,24.73,5.45,take_profit
